,train,val,test
0,normal_001,normal_038,test_001
1,normal_003,normal_006,test_002
2,normal_004,normal_067,test_003
3,normal_005,normal_146,test_004
4,normal_007,normal_084,test_005
5,normal_008,normal_070,test_006
6,normal_009,normal_077,test_007
7,normal_010,normal_066,test_008
8,normal_011,normal_097,test_009
9,normal_012,normal_147,test_010
10,normal_013,normal_075,test_011
11,normal_014,normal_054,test_012
12,normal_015,normal_134,test_013
13,normal_016,normal_148,test_014
14,normal_017,normal_049,test_015
15,normal_018,normal_002,test_016
16,normal_019,normal_140,test_017
17,normal_020,normal_050,test_018
18,normal_021,normal_117,test_019
19,normal_022,normal_057,test_020
20,normal_023,normal_074,test_021
21,normal_024,normal_080,test_022
22,normal_025,tumor_097,test_023
23,normal_026,tumor_062,test_024
24,normal_027,tumor_076,test_025
25,normal_028,tumor_031,test_026
26,normal_029,tumor_101,test_027
27,normal_030,tumor_038,test_028
28,normal_031,,test_029
29,normal_032,,test_030
30,normal_033,,test_031
31,normal_034,,test_032
32,normal_035,,test_033
33,normal_036,,test_034
34,normal_037,,test_035
35,normal_039,,test_036
36,normal_040,,test_037
37,normal_041,,test_038
38,normal_042,,test_039
39,normal_043,,test_040
40,normal_044,,test_041
41,normal_045,,test_042
42,normal_046,,test_043
43,normal_047,,test_044
44,normal_048,,test_045
45,normal_051,,test_046
46,normal_052,,test_047
47,normal_053,,test_048
48,normal_055,,test_050
49,normal_056,,test_051
50,normal_058,,test_052
51,normal_059,,test_053
52,normal_060,,test_054
53,normal_061,,test_055
54,normal_062,,test_056
55,normal_063,,test_057
56,normal_064,,test_058
57,normal_065,,test_059
58,normal_068,,test_060
59,normal_069,,test_061
60,normal_071,,test_062
61,normal_072,,test_063
62,normal_073,,test_064
63,normal_076,,test_065
64,normal_078,,test_066
65,normal_079,,test_067
66,normal_081,,test_068
67,normal_082,,test_069
68,normal_083,,test_070
69,normal_085,,test_071
70,normal_087,,test_072
71,normal_088,,test_073
72,normal_089,,test_074
73,normal_090,,test_075
74,normal_091,,test_076
75,normal_092,,test_077
76,normal_093,,test_078
77,normal_094,,test_079
78,normal_095,,test_080
79,normal_096,,test_081
80,normal_098,,test_082
81,normal_099,,test_083
82,normal_100,,test_084
83,normal_101,,test_085
84,normal_102,,test_086
85,normal_103,,test_087
86,normal_104,,test_088
87,normal_105,,test_089
88,normal_106,,test_090
89,normal_107,,test_091
90,normal_108,,test_092
91,normal_109,,test_093
92,normal_110,,test_094
93,normal_111,,test_095
94,normal_112,,test_096
95,normal_113,,test_097
96,normal_114,,test_098
97,normal_115,,test_099
98,normal_116,,test_100
99,normal_118,,test_101
100,normal_119,,test_102
101,normal_120,,test_103
102,normal_121,,test_104
103,normal_122,,test_105
104,normal_123,,test_106
105,normal_124,,test_107
106,normal_125,,test_108
107,normal_126,,test_109
108,normal_127,,test_110
109,normal_128,,test_111
110,normal_129,,test_112
111,normal_130,,test_113
112,normal_131,,test_114
113,normal_132,,test_115
114,normal_133,,test_116
115,normal_135,,test_117
116,normal_136,,test_118
117,normal_137,,test_119
118,normal_138,,test_120
119,normal_139,,test_121
120,normal_141,,test_122
121,normal_142,,test_123
122,normal_143,,test_124
123,normal_144,,test_125
124,normal_145,,test_126
125,normal_149,,test_127
126,normal_150,,test_128
127,normal_151,,test_129
128,normal_152,,test_130
129,normal_153,,
130,normal_154,,
131,normal_155,,
132,normal_156,,
133,normal_157,,
134,normal_158,,
135,normal_159,,
136,normal_160,,
137,tumor_001,,
138,tumor_002,,
139,tumor_003,,
140,tumor_004,,
141,tumor_005,,
142,tumor_006,,
143,tumor_007,,
144,tumor_008,,
145,tumor_009,,
146,tumor_010,,
147,tumor_011,,
148,tumor_012,,
149,tumor_013,,
150,tumor_014,,
151,tumor_015,,
152,tumor_016,,
153,tumor_017,,
154,tumor_018,,
155,tumor_019,,
156,tumor_020,,
157,tumor_021,,
158,tumor_022,,
159,tumor_023,,
160,tumor_024,,
161,tumor_025,,
162,tumor_026,,
163,tumor_027,,
164,tumor_028,,
165,tumor_029,,
166,tumor_030,,
167,tumor_032,,
168,tumor_033,,
169,tumor_034,,
170,tumor_035,,
171,tumor_036,,
172,tumor_037,,
173,tumor_039,,
174,tumor_040,,
175,tumor_041,,
176,tumor_042,,
177,tumor_043,,
178,tumor_044,,
179,tumor_045,,
180,tumor_046,,
181,tumor_047,,
182,tumor_048,,
183,tumor_049,,
184,tumor_050,,
185,tumor_051,,
186,tumor_052,,
187,tumor_053,,
188,tumor_054,,
189,tumor_055,,
190,tumor_056,,
191,tumor_057,,
192,tumor_058,,
193,tumor_059,,
194,tumor_060,,
195,tumor_061,,
196,tumor_063,,
197,tumor_064,,
198,tumor_065,,
199,tumor_066,,
200,tumor_067,,
201,tumor_068,,
202,tumor_069,,
203,tumor_070,,
204,tumor_071,,
205,tumor_072,,
206,tumor_073,,
207,tumor_074,,
208,tumor_075,,
209,tumor_077,,
210,tumor_078,,
211,tumor_079,,
212,tumor_080,,
213,tumor_081,,
214,tumor_082,,
215,tumor_083,,
216,tumor_084,,
217,tumor_085,,
218,tumor_086,,
219,tumor_087,,
220,tumor_088,,
221,tumor_089,,
222,tumor_090,,
223,tumor_091,,
224,tumor_092,,
225,tumor_093,,
226,tumor_094,,
227,tumor_095,,
228,tumor_096,,
229,tumor_098,,
230,tumor_099,,
231,tumor_100,,
232,tumor_102,,
233,tumor_103,,
234,tumor_104,,
235,tumor_105,,
236,tumor_106,,
237,tumor_107,,
238,tumor_108,,
239,tumor_109,,
240,tumor_110,,
241,tumor_111,,
