,train,val,test
0,normal_002,normal_017,test_001
1,normal_003,normal_026,test_002
2,normal_004,normal_103,test_003
3,normal_005,normal_155,test_004
4,normal_006,normal_083,test_005
5,normal_008,normal_088,test_006
6,normal_011,normal_069,test_007
7,normal_013,normal_031,test_008
8,normal_014,normal_107,test_009
9,normal_015,normal_010,test_010
10,normal_016,normal_012,test_011
11,normal_018,normal_109,test_012
12,normal_019,normal_064,test_013
13,normal_020,normal_137,test_014
14,normal_021,normal_079,test_015
15,normal_023,normal_022,test_016
16,normal_024,normal_009,test_017
17,normal_025,normal_033,test_018
18,normal_027,normal_047,test_019
19,normal_028,normal_102,test_020
20,normal_029,normal_007,test_021
21,normal_030,normal_065,test_022
22,normal_032,tumor_065,test_023
23,normal_034,tumor_064,test_024
24,normal_035,tumor_067,test_025
25,normal_036,tumor_024,test_026
26,normal_037,tumor_048,test_027
27,normal_038,tumor_084,test_028
28,normal_039,,test_029
29,normal_040,,test_030
30,normal_041,,test_031
31,normal_042,,test_032
32,normal_043,,test_033
33,normal_044,,test_034
34,normal_045,,test_035
35,normal_046,,test_036
36,normal_048,,test_037
37,normal_049,,test_038
38,normal_050,,test_039
39,normal_051,,test_040
40,normal_052,,test_041
41,normal_053,,test_042
42,normal_054,,test_043
43,normal_055,,test_044
44,normal_056,,test_045
45,normal_057,,test_046
46,normal_058,,test_047
47,normal_059,,test_048
48,normal_060,,test_050
49,normal_061,,test_051
50,normal_062,,test_052
51,normal_063,,test_053
52,normal_066,,test_054
53,normal_067,,test_055
54,normal_068,,test_056
55,normal_070,,test_057
56,normal_071,,test_058
57,normal_072,,test_059
58,normal_073,,test_060
59,normal_074,,test_061
60,normal_075,,test_062
61,normal_076,,test_063
62,normal_077,,test_064
63,normal_078,,test_065
64,normal_080,,test_066
65,normal_081,,test_067
66,normal_082,,test_068
67,normal_084,,test_069
68,normal_085,,test_070
69,normal_087,,test_071
70,normal_089,,test_072
71,normal_090,,test_073
72,normal_091,,test_074
73,normal_092,,test_075
74,normal_093,,test_076
75,normal_094,,test_077
76,normal_095,,test_078
77,normal_096,,test_079
78,normal_097,,test_080
79,normal_098,,test_081
80,normal_099,,test_082
81,normal_100,,test_083
82,normal_101,,test_084
83,normal_104,,test_085
84,normal_105,,test_086
85,normal_106,,test_087
86,normal_108,,test_088
87,normal_110,,test_089
88,normal_111,,test_090
89,normal_112,,test_091
90,normal_113,,test_092
91,normal_114,,test_093
92,normal_115,,test_094
93,normal_116,,test_095
94,normal_117,,test_096
95,normal_118,,test_097
96,normal_119,,test_098
97,normal_120,,test_099
98,normal_121,,test_100
99,normal_122,,test_101
100,normal_123,,test_102
101,normal_124,,test_103
102,normal_125,,test_104
103,normal_126,,test_105
104,normal_127,,test_106
105,normal_128,,test_107
106,normal_129,,test_108
107,normal_130,,test_109
108,normal_131,,test_110
109,normal_132,,test_111
110,normal_133,,test_112
111,normal_134,,test_113
112,normal_135,,test_114
113,normal_136,,test_115
114,normal_138,,test_116
115,normal_139,,test_117
116,normal_140,,test_118
117,normal_141,,test_119
118,normal_142,,test_120
119,normal_143,,test_121
120,normal_144,,test_122
121,normal_145,,test_123
122,normal_146,,test_124
123,normal_147,,test_125
124,normal_148,,test_126
125,normal_149,,test_127
126,normal_150,,test_128
127,normal_151,,test_129
128,normal_152,,test_130
129,normal_153,,normal_001
130,normal_154,,
131,normal_156,,
132,normal_157,,
133,normal_158,,
134,normal_159,,
135,normal_160,,
136,tumor_001,,
137,tumor_002,,
138,tumor_003,,
139,tumor_004,,
140,tumor_005,,
141,tumor_006,,
142,tumor_007,,
143,tumor_008,,
144,tumor_009,,
145,tumor_010,,
146,tumor_011,,
147,tumor_012,,
148,tumor_013,,
149,tumor_014,,
150,tumor_015,,
151,tumor_016,,
152,tumor_017,,
153,tumor_018,,
154,tumor_019,,
155,tumor_020,,
156,tumor_021,,
157,tumor_022,,
158,tumor_023,,
159,tumor_025,,
160,tumor_026,,
161,tumor_027,,
162,tumor_028,,
163,tumor_029,,
164,tumor_030,,
165,tumor_031,,
166,tumor_032,,
167,tumor_033,,
168,tumor_034,,
169,tumor_035,,
170,tumor_036,,
171,tumor_037,,
172,tumor_038,,
173,tumor_039,,
174,tumor_040,,
175,tumor_041,,
176,tumor_042,,
177,tumor_043,,
178,tumor_044,,
179,tumor_045,,
180,tumor_046,,
181,tumor_047,,
182,tumor_049,,
183,tumor_050,,
184,tumor_051,,
185,tumor_052,,
186,tumor_053,,
187,tumor_054,,
188,tumor_055,,
189,tumor_056,,
190,tumor_057,,
191,tumor_058,,
192,tumor_059,,
193,tumor_060,,
194,tumor_061,,
195,tumor_062,,
196,tumor_063,,
197,tumor_066,,
198,tumor_068,,
199,tumor_069,,
200,tumor_070,,
201,tumor_071,,
202,tumor_072,,
203,tumor_073,,
204,tumor_074,,
205,tumor_075,,
206,tumor_076,,
207,tumor_077,,
208,tumor_078,,
209,tumor_079,,
210,tumor_080,,
211,tumor_081,,
212,tumor_082,,
213,tumor_083,,
214,tumor_085,,
215,tumor_086,,
216,tumor_087,,
217,tumor_088,,
218,tumor_089,,
219,tumor_090,,
220,tumor_091,,
221,tumor_092,,
222,tumor_093,,
223,tumor_094,,
224,tumor_095,,
225,tumor_096,,
226,tumor_097,,
227,tumor_098,,
228,tumor_099,,
229,tumor_100,,
230,tumor_101,,
231,tumor_102,,
232,tumor_103,,
233,tumor_104,,
234,tumor_105,,
235,tumor_106,,
236,tumor_107,,
237,tumor_108,,
238,tumor_109,,
239,tumor_110,,
240,tumor_111,,
